Valores simples de edad	Sexo	Periodo	Total
Total	Hombres	1 de enero de 2017	22.834.227
Total	Hombres	1 de julio de 2016	22.805.230
Total	Hombres	1 de enero de 2016	22.807.464
Total	Hombres	1 de julio de 2015	22.800.864
Total	Hombres	1 de enero de 2015	22.826.546
Total	Hombres	1 de julio de 2014	22.840.091
Total	Hombres	1 de enero de 2014	22.877.461
Total	Hombres	1 de julio de 2013	22.933.750
Total	Hombres	1 de enero de 2013	23.017.758
Total	Hombres	1 de julio de 2012	23.055.722
Total	Hombres	1 de enero de 2012	23.099.009
Total	Hombres	1 de julio de 2011	23.073.274
Total	Hombres	1 de enero de 2011	23.049.476
Total	Hombres	1 de julio de 2010	23.008.580
Total	Hombres	1 de enero de 2010	22.982.272
Total	Hombres	1 de julio de 2009	22.934.502
Total	Hombres	1 de enero de 2009	22.880.534
Total	Hombres	1 de julio de 2008	22.756.864
Total	Hombres	1 de enero de 2008	22.591.484
Total	Hombres	1 de julio de 2007	22.362.074
Total	Hombres	1 de enero de 2007	22.118.970
Total	Hombres	1 de julio de 2006	21.900.709
Total	Hombres	1 de enero de 2006	21.719.317
Total	Hombres	1 de julio de 2005	21.541.965
Total	Hombres	1 de enero de 2005	21.335.283
Total	Hombres	1 de julio de 2004	21.093.052
Total	Hombres	1 de enero de 2004	20.924.581
Total	Hombres	1 de julio de 2003	20.737.999
Total	Hombres	1 de enero de 2003	20.542.468
Total	Hombres	1 de julio de 2002	20.326.854
Total	Hombres	1 de enero de 2002	20.115.522
Total	Hombres	1 de julio de 2001	19.973.044
Total	Hombres	1 de enero de 2001	19.923.892
Total	Hombres	1 de julio de 2000	19.868.636
Total	Hombres	1 de enero de 2000	19.826.339
Total	Hombres	1 de julio de 1999	19.777.139
Total	Hombres	1 de enero de 1999	19.744.257
Total	Hombres	1 de julio de 1998	19.699.794
Total	Hombres	1 de enero de 1998	19.664.565
Total	Hombres	1 de julio de 1997	19.618.845
Total	Hombres	1 de enero de 1997	19.579.778
Total	Hombres	1 de julio de 1996	19.537.708
Total	Hombres	1 de enero de 1996	19.500.458
Total	Hombres	1 de julio de 1995	19.456.911
Total	Hombres	1 de enero de 1995	19.417.999
Total	Hombres	1 de julio de 1994	19.372.716
Total	Hombres	1 de enero de 1994	19.328.299
Total	Hombres	1 de julio de 1993	19.277.470
Total	Hombres	1 de enero de 1993	19.231.389
Total	Hombres	1 de julio de 1992	19.174.451
Total	Hombres	1 de enero de 1992	19.126.029
Total	Hombres	1 de julio de 1991	19.071.305
Total	Hombres	1 de enero de 1991	19.042.818
Total	Hombres	1 de julio de 1990	19.038.475
Total	Hombres	1 de enero de 1990	19.039.785
Total	Hombres	1 de julio de 1989	19.029.472
Total	Hombres	1 de enero de 1989	19.023.679
Total	Hombres	1 de julio de 1988	19.008.691
Total	Hombres	1 de enero de 1988	18.995.710
Total	Hombres	1 de julio de 1987	18.974.705
Total	Hombres	1 de enero de 1987	18.954.956
Total	Hombres	1 de julio de 1986	18.925.182
Total	Hombres	1 de enero de 1986	18.906.124
Total	Hombres	1 de julio de 1985	18.876.875
Total	Hombres	1 de enero de 1985	18.849.258
Total	Hombres	1 de julio de 1984	18.810.578
Total	Hombres	1 de enero de 1984	18.775.089
Total	Hombres	1 de julio de 1983	18.730.311
Total	Hombres	1 de enero de 1983	18.695.393
Total	Hombres	1 de julio de 1982	18.644.480
Total	Hombres	1 de enero de 1982	18.591.423
Total	Hombres	1 de julio de 1981	18.532.874
Total	Hombres	1 de enero de 1981	18.467.449
Total	Hombres	1 de julio de 1980	18.396.289
Total	Hombres	1 de enero de 1980	18.323.513
Total	Hombres	1 de julio de 1979	18.247.247
Total	Hombres	1 de enero de 1979	18.167.281
Total	Hombres	1 de julio de 1978	18.082.153
Total	Hombres	1 de enero de 1978	17.993.218
Total	Hombres	1 de julio de 1977	17.899.596
Total	Hombres	1 de enero de 1977	17.807.322
Total	Hombres	1 de julio de 1976	17.705.447
Total	Hombres	1 de enero de 1976	17.612.561
Total	Hombres	1 de julio de 1975	17.512.929
Total	Hombres	1 de enero de 1975	17.419.371
Total	Hombres	1 de julio de 1974	17.314.892
Total	Hombres	1 de enero de 1974	17.220.063
Total	Hombres	1 de julio de 1973	17.119.603
Total	Hombres	1 de enero de 1973	17.027.972
Total	Hombres	1 de julio de 1972	16.923.533
Total	Hombres	1 de enero de 1972	16.827.942
Total	Hombres	1 de julio de 1971	16.730.904
Total	Hombres	1 de enero de 1971	16.641.744
Total	Mujeres	1 de julio de 2022	24.304.407
Total	Mujeres	1 de enero de 2022	24.195.741
Total	Mujeres	1 de julio de 2021	24.140.027
Total	Mujeres	1 de enero de 2021	24.171.413
Total	Mujeres	1 de julio de 2020	24.146.903
Total	Mujeres	1 de enero de 2020	24.133.301
Total	Mujeres	1 de julio de 2019	24.013.460
Total	Mujeres	1 de enero de 2019	23.927.801
Total	Mujeres	1 de julio de 2018	23.817.165
Total	Mujeres	1 de enero de 2018	23.776.565
Total	Mujeres	1 de julio de 2017	23.703.121
Total	Mujeres	1 de enero de 2017	23.692.812
Total	Mujeres	1 de julio de 2016	23.644.644
Total	Mujeres	1 de enero de 2016	23.632.635
Total	Mujeres	1 de julio de 2015	23.609.285
Total	Mujeres	1 de enero de 2015	23.623.019
Total	Mujeres	1 de julio de 2014	23.615.032
Total	Mujeres	1 de enero de 2014	23.634.738
Total	Mujeres	1 de julio de 2013	23.659.486
Total	Mujeres	1 de enero de 2013	23.710.132
Total	Mujeres	1 de julio de 2012	23.710.682
Total	Mujeres	1 de enero de 2012	23.719.207
Total	Mujeres	1 de julio de 2011	23.662.983
Total	Mujeres	1 de enero de 2011	23.617.698
Total	Mujeres	1 de julio de 2010	23.553.902
Total	Mujeres	1 de enero de 2010	23.504.349
Total	Mujeres	1 de julio de 2009	23.433.048
Total	Mujeres	1 de enero de 2009	23.358.736
Total	Mujeres	1 de julio de 2008	23.226.305
Total	Mujeres	1 de enero de 2008	23.077.454
Total	Mujeres	1 de julio de 2007	22.873.931
Total	Mujeres	1 de enero de 2007	22.665.689
Total	Mujeres	1 de julio de 2006	22.459.813
Total	Mujeres	1 de enero de 2006	22.290.652
Total	Mujeres	1 de julio de 2005	22.120.648
Total	Mujeres	1 de enero de 2005	21.961.052
Total	Mujeres	1 de julio de 2004	21.766.121
Total	Mujeres	1 de enero de 2004	21.622.873
Total	Mujeres	1 de julio de 2003	21.458.232
Total	Mujeres	1 de enero de 2003	21.285.368
Total	Mujeres	1 de julio de 2002	21.096.666
Total	Mujeres	1 de enero de 2002	20.919.749
Total	Mujeres	1 de julio de 2001	20.793.005
Total	Mujeres	1 de enero de 2001	20.741.653
Total	Mujeres	1 de julio de 2000	20.685.751
Total	Mujeres	1 de enero de 2000	20.643.843
Total	Mujeres	1 de julio de 1999	20.592.527
Total	Mujeres	1 de enero de 1999	20.559.311
Total	Mujeres	1 de julio de 1998	20.514.272
Total	Mujeres	1 de enero de 1998	20.478.884
Total	Mujeres	1 de julio de 1997	20.431.129
Total	Mujeres	1 de enero de 1997	20.391.551
Total	Mujeres	1 de julio de 1996	20.346.538
Total	Mujeres	1 de enero de 1996	20.307.916
Total	Mujeres	1 de julio de 1995	20.261.984
Total	Mujeres	1 de enero de 1995	20.221.727
Total	Mujeres	1 de julio de 1994	20.174.637
Total	Mujeres	1 de enero de 1994	20.130.190
Total	Mujeres	1 de julio de 1993	20.078.612
Total	Mujeres	1 de enero de 1993	20.032.646
Total	Mujeres	1 de julio de 1992	19.973.488
Total	Mujeres	1 de enero de 1992	19.925.307
Total	Mujeres	1 de julio de 1991	19.870.317
Total	Mujeres	1 de enero de 1991	19.838.598
Total	Mujeres	1 de julio de 1990	19.822.352
Total	Mujeres	1 de enero de 1990	19.813.442
Total	Mujeres	1 de julio de 1989	19.791.905
Total	Mujeres	1 de enero de 1989	19.778.621
Total	Mujeres	1 de julio de 1988	19.755.616
Total	Mujeres	1 de enero de 1988	19.735.868
Total	Mujeres	1 de julio de 1987	19.707.616
Total	Mujeres	1 de enero de 1987	19.683.096
Total	Mujeres	1 de julio de 1986	19.646.759
Total	Mujeres	1 de enero de 1986	19.625.072
Total	Mujeres	1 de julio de 1985	19.590.150
Total	Mujeres	1 de enero de 1985	19.558.571
Total	Mujeres	1 de julio de 1984	19.514.666
Total	Mujeres	1 de enero de 1984	19.477.809
Total	Mujeres	1 de julio de 1983	19.429.953
Total	Mujeres	1 de enero de 1983	19.394.759
Total	Mujeres	1 de julio de 1982	19.342.628
Total	Mujeres	1 de enero de 1982	19.290.449
Total	Mujeres	1 de julio de 1981	19.231.584
Total	Mujeres	1 de enero de 1981	19.167.940
Total	Mujeres	1 de julio de 1980	19.096.782
Total	Mujeres	1 de enero de 1980	19.023.427
Total	Mujeres	1 de julio de 1979	18.947.068
Total	Mujeres	1 de enero de 1979	18.868.438
Total	Mujeres	1 de julio de 1978	18.785.947
Total	Mujeres	1 de enero de 1978	18.700.859
Total	Mujeres	1 de julio de 1977	18.607.215
Total	Mujeres	1 de enero de 1977	18.521.877
Total	Mujeres	1 de julio de 1976	18.422.078
Total	Mujeres	1 de enero de 1976	18.333.864
Total	Mujeres	1 de julio de 1975	18.237.105
Total	Mujeres	1 de enero de 1975	18.150.004
Total	Mujeres	1 de julio de 1974	18.048.997
Total	Mujeres	1 de enero de 1974	17.957.230
Total	Mujeres	1 de julio de 1973	17.860.714
Total	Mujeres	1 de enero de 1973	17.772.628
Total	Mujeres	1 de julio de 1972	17.672.353
Total	Mujeres	1 de enero de 1972	17.580.397
Total	Mujeres	1 de julio de 1971	17.485.953
Total	Mujeres	1 de enero de 1971	17.398.898
0 años	Ambos sexos	1 de julio de 2022	329.425,5
0 años	Ambos sexos	1 de enero de 2022	337.549
0 años	Ambos sexos	1 de julio de 2021	330.617,5
0 años	Ambos sexos	1 de enero de 2021	340.976
0 años	Ambos sexos	1 de julio de 2020	350.891
0 años	Ambos sexos	1 de enero de 2020	359.941
0 años	Ambos sexos	1 de julio de 2019	361.862,5
0 años	Ambos sexos	1 de enero de 2019	371.989
0 años	Ambos sexos	1 de julio de 2018	377.994
0 años	Ambos sexos	1 de enero de 2018	392.563
0 años	Ambos sexos	1 de julio de 2017	396.311,546629
0 años	Ambos sexos	1 de enero de 2017	409.900,091955
0 años	Ambos sexos	1 de julio de 2016	410.063,949717
0 años	Ambos sexos	1 de enero de 2016	419.394,542345
0 años	Ambos sexos	1 de julio de 2015	418.018,587673
0 años	Ambos sexos	1 de enero de 2015	426.459,032637
0 años	Ambos sexos	1 de julio de 2014	420.420,090368
0 años	Ambos sexos	1 de enero de 2014	424.880,561286
0 años	Ambos sexos	1 de julio de 2013	433.414,921125
0 años	Ambos sexos	1 de enero de 2013	453.294,393815
0 años	Ambos sexos	1 de julio de 2012	461.973,362227
0 años	Ambos sexos	1 de enero de 2012	475.602,77295
0 años	Ambos sexos	1 de julio de 2011	474.723,453262
0 años	Ambos sexos	1 de enero de 2011	484.003,635095
0 años	Ambos sexos	1 de julio de 2010	479.828,211735
0 años	Ambos sexos	1 de enero de 2010	493.973,866251
0 años	Ambos sexos	1 de julio de 2009	503.461,705857
0 años	Ambos sexos	1 de enero de 2009	519.524,915206
0 años	Ambos sexos	1 de julio de 2008	503.135,219049
0 años	Ambos sexos	1 de enero de 2008	493.917,526566
0 años	Ambos sexos	1 de julio de 2007	482.497,537652
0 años	Ambos sexos	1 de enero de 2007	483.683,207927
0 años	Ambos sexos	1 de julio de 2006	472.008,502811
0 años	Ambos sexos	1 de enero de 2006	466.983,638727
0 años	Ambos sexos	1 de julio de 2005	456.376,778284
0 años	Ambos sexos	1 de enero de 2005	455.203,853201
0 años	Ambos sexos	1 de julio de 2004	442.766,665038
0 años	Ambos sexos	1 de enero de 2004	443.075,961549
0 años	Ambos sexos	1 de julio de 2003	429.164,017065
0 años	Ambos sexos	1 de enero de 2003	419.433,457031
0 años	Ambos sexos	1 de julio de 2002	409.528,277509
0 años	Ambos sexos	1 de enero de 2002	411.693,176639
0 años	Ambos sexos	1 de julio de 2001	399.010,118213
0 años	Ambos sexos	1 de enero de 2001	395.790,090907
0 años	Ambos sexos	1 de julio de 2000	384.769,486652
0 años	Ambos sexos	1 de enero de 2000	379.648,588239
0 años	Ambos sexos	1 de julio de 1999	368.311,707194
0 años	Ambos sexos	1 de enero de 1999	365.367,217391
0 años	Ambos sexos	1 de julio de 1998	364.079,798375
0 años	Ambos sexos	1 de enero de 1998	367.200,586208
0 años	Ambos sexos	1 de julio de 1997	364.742,507419
0 años	Ambos sexos	1 de enero de 1997	361.026,285715
0 años	Ambos sexos	1 de julio de 1996	360.901,99654
0 años	Ambos sexos	1 de enero de 1996	362.924,804874
0 años	Ambos sexos	1 de julio de 1995	364.040,125866
0 años	Ambos sexos	1 de enero de 1995	368.535,297875
0 años	Ambos sexos	1 de julio de 1994	378.369,998017
0 años	Ambos sexos	1 de enero de 1994	384.355,132075
0 años	Ambos sexos	1 de julio de 1993	390.628,523696
0 años	Ambos sexos	1 de enero de 1993	395.546,610166
0 años	Ambos sexos	1 de julio de 1992	390.537,242583
0 años	Ambos sexos	1 de enero de 1992	390.956,046875
0 años	Ambos sexos	1 de julio de 1991	386.412,265625
0 años	Ambos sexos	1 de enero de 1991	390.638,999999
0 años	Ambos sexos	1 de julio de 1990	392.381,00002
0 años	Ambos sexos	1 de enero de 1990	401.254,999997
0 años	Ambos sexos	1 de julio de 1989	402.739,578971
0 años	Ambos sexos	1 de enero de 1989	410.145,105261
0 años	Ambos sexos	1 de julio de 1988	412.941,07263
0 años	Ambos sexos	1 de enero de 1988	420.692,36
0 años	Ambos sexos	1 de julio de 1987	426.128,099382
0 años	Ambos sexos	1 de enero de 1987	432.682,225807
0 años	Ambos sexos	1 de julio de 1986	438.556,099415
0 años	Ambos sexos	1 de enero de 1986	451.280,648645
0 años	Ambos sexos	1 de julio de 1985	462.821,638303
0 años	Ambos sexos	1 de enero de 1985	469.612,418612
0 años	Ambos sexos	1 de julio de 1984	476.620,035858
0 años	Ambos sexos	1 de enero de 1984	480.918,102036
0 años	Ambos sexos	1 de julio de 1983	496.183,341959
0 años	Ambos sexos	1 de enero de 1983	511.235,054547
0 años	Ambos sexos	1 de julio de 1982	531.486,242925
0 años	Ambos sexos	1 de enero de 1982	549.898,49457
0 años	Ambos sexos	1 de julio de 1981	574.933,62358
0 años	Ambos sexos	1 de enero de 1981	569.801,868853
0 años	Ambos sexos	1 de julio de 1980	582.436,313496
0 años	Ambos sexos	1 de enero de 1980	592.226,6438
0 años	Ambos sexos	1 de julio de 1979	614.762,911883
0 años	Ambos sexos	1 de enero de 1979	625.319,961595
0 años	Ambos sexos	1 de julio de 1978	641.933,210578
0 años	Ambos sexos	1 de enero de 1978	644.378,9255
0 años	Ambos sexos	1 de julio de 1977	658.800,042054
0 años	Ambos sexos	1 de enero de 1977	665.372,818441
0 años	Ambos sexos	1 de julio de 1976	662.525,648963
0 años	Ambos sexos	1 de enero de 1976	659.696,353717
0 años	Ambos sexos	1 de julio de 1975	668.419,697356
0 años	Ambos sexos	1 de enero de 1975	679.664,135902
0 años	Ambos sexos	1 de julio de 1974	663.447,24629
0 años	Ambos sexos	1 de enero de 1974	666.113,095601
0 años	Ambos sexos	1 de julio de 1973	667.001,830205
0 años	Ambos sexos	1 de enero de 1973	666.068,471634
0 años	Ambos sexos	1 de julio de 1972	663.479,039216
0 años	Ambos sexos	1 de enero de 1972	663.793,039786
0 años	Ambos sexos	1 de julio de 1971	651.607,201949
0 años	Ambos sexos	1 de enero de 1971	647.443,17
0 años	Hombres	1 de julio de 2022	170.022,5
0 años	Hombres	1 de enero de 2022	174.194
0 años	Hombres	1 de julio de 2021	170.071
0 años	Hombres	1 de enero de 2021	174.641
0 años	Hombres	1 de julio de 2020	180.200
0 años	Hombres	1 de enero de 2020	185.084
0 años	Hombres	1 de julio de 2019	185.767
0 años	Hombres	1 de enero de 2019	191.164
0 años	Hombres	1 de julio de 2018	194.539
0 años	Hombres	1 de enero de 2018	202.087
0 años	Hombres	1 de julio de 2017	203.725,455757
0 años	Hombres	1 de enero de 2017	210.605,91083
0 años	Hombres	1 de julio de 2016	211.057,980913
0 años	Hombres	1 de enero de 2016	215.947,87971
0 años	Hombres	1 de julio de 2015	215.729,078627
0 años	Hombres	1 de enero de 2015	220.124,038006
0 años	Hombres	1 de julio de 2014	216.744,196159
0 años	Hombres	1 de enero de 2014	218.575,863552
0 años	Hombres	1 de julio de 2013	223.136,328333
0 años	Hombres	1 de enero de 2013	233.648,30082
0 años	Hombres	1 de julio de 2012	238.156,174496
0 años	Hombres	1 de enero de 2012	245.028,957345
0 años	Hombres	1 de julio de 2011	244.985,736132
0 años	Hombres	1 de enero de 2011	249.567,74323
0 años	Hombres	1 de julio de 2010	247.827,121258
0 años	Hombres	1 de enero de 2010	255.370,934706
0 años	Hombres	1 de julio de 2009	260.611,949418
0 años	Hombres	1 de enero de 2009	268.220,807602
0 años	Hombres	1 de julio de 2008	259.819,412531
0 años	Hombres	1 de enero de 2008	254.589,058987
0 años	Hombres	1 de julio de 2007	249.251,370056
0 años	Hombres	1 de enero de 2007	249.534,544028
0 años	Hombres	1 de julio de 2006	243.304,65355
0 años	Hombres	1 de enero de 2006	240.394,755115
0 años	Hombres	1 de julio de 2005	235.216,070255
0 años	Hombres	1 de enero de 2005	235.080,879413
0 años	Hombres	1 de julio de 2004	228.308,720583
0 años	Hombres	1 de enero de 2004	228.103,770887
0 años	Hombres	1 de julio de 2003	221.477,148496
0 años	Hombres	1 de enero de 2003	216.147,534941
0 años	Hombres	1 de julio de 2002	210.071,648384
0 años	Hombres	1 de enero de 2002	210.646,414194
0 años	Hombres	1 de julio de 2001	204.944,000018
0 años	Hombres	1 de enero de 2001	204.094,999999
0 años	Hombres	1 de julio de 2000	198.117,235302
0 años	Hombres	1 de enero de 2000	195.124,647058
0 años	Hombres	1 de julio de 1999	189.974,214851
0 años	Hombres	1 de enero de 1999	188.745,521739
0 años	Hombres	1 de julio de 1998	188.065,14019
0 años	Hombres	1 de enero de 1998	188.953,172415
0 años	Hombres	1 de julio de 1997	187.628,557651
0 años	Hombres	1 de enero de 1997	185.639,628573
0 años	Hombres	1 de julio de 1996	185.846,046005
0 años	Hombres	1 de enero de 1996	186.959,975609
0 años	Hombres	1 de julio de 1995	187.672,009093
0 años	Hombres	1 de enero de 1995	190.020,361704
0 años	Hombres	1 de julio de 1994	195.406,492184
0 años	Hombres	1 de enero de 1994	198.441,415094
0 años	Hombres	1 de julio de 1993	201.547,190616
0 años	Hombres	1 de enero de 1993	203.860,644064
0 años	Hombres	1 de julio de 1992	201.608,572032
0 años	Hombres	1 de enero de 1992	201.958,1875
0 años	Hombres	1 de julio de 1991	198.765,59375
0 años	Hombres	1 de enero de 1991	200.814,571429
0 años	Hombres	1 de julio de 1990	201.912,131879
0 años	Hombres	1 de enero de 1990	206.812,461536
0 años	Hombres	1 de julio de 1989	207.889,257102
0 años	Hombres	1 de enero de 1989	211.736,368419
0 años	Hombres	1 de julio de 1988	213.211,424213
0 años	Hombres	1 de enero de 1988	217.443,32
0 años	Hombres	1 de julio de 1987	219.924,385819
0 años	Hombres	1 de enero de 1987	223.388,967743
0 años	Hombres	1 de julio de 1986	226.573,510912
0 años	Hombres	1 de enero de 1986	233.145,702703
0 años	Hombres	1 de julio de 1985	239.591,176947
0 años	Hombres	1 de enero de 1985	243.491,767445
0 años	Hombres	1 de julio de 1984	247.075,393938
0 años	Hombres	1 de enero de 1984	248.739,346937
0 años	Hombres	1 de julio de 1983	256.925,900756
0 años	Hombres	1 de enero de 1983	265.635,636366
0 años	Hombres	1 de julio de 1982	276.140,787256
0 años	Hombres	1 de enero de 1982	285.633,703771
0 años	Hombres	1 de julio de 1981	296.547,497095
0 años	Hombres	1 de enero de 1981	293.066,481102
0 años	Hombres	1 de julio de 1980	299.059,346277
0 años	Hombres	1 de enero de 1980	305.127,3999
0 años	Hombres	1 de julio de 1979	317.099,743694
0 años	Hombres	1 de enero de 1979	323.201,521255
0 años	Hombres	1 de julio de 1978	330.897,89195
0 años	Hombres	1 de enero de 1978	332.202,53171
0 años	Hombres	1 de julio de 1977	340.053,924308
0 años	Hombres	1 de enero de 1977	342.415,368648
0 años	Hombres	1 de julio de 1976	341.449,599568
0 años	Hombres	1 de enero de 1976	340.626,744438
0 años	Hombres	1 de julio de 1975	344.384,828004
0 años	Hombres	1 de enero de 1975	348.934,411588
0 años	Hombres	1 de julio de 1974	340.852,920287
0 años	Hombres	1 de enero de 1974	342.402,468947
0 años	Hombres	1 de julio de 1973	342.810,450949
0 años	Hombres	1 de enero de 1973	342.349,794843
0 años	Hombres	1 de julio de 1972	341.031,112001
0 años	Hombres	1 de enero de 1972	341.275,845021
0 años	Hombres	1 de julio de 1971	334.877,037884
0 años	Hombres	1 de enero de 1971	332.703,52
0 años	Mujeres	1 de julio de 2022	159.403
0 años	Mujeres	1 de enero de 2022	163.355
0 años	Mujeres	1 de julio de 2021	160.546,5
0 años	Mujeres	1 de enero de 2021	166.335
0 años	Mujeres	1 de julio de 2020	170.691
0 años	Mujeres	1 de enero de 2020	174.857
0 años	Mujeres	1 de julio de 2019	176.095,5
0 años	Mujeres	1 de enero de 2019	180.825
0 años	Mujeres	1 de julio de 2018	183.455
0 años	Mujeres	1 de enero de 2018	190.476
0 años	Mujeres	1 de julio de 2017	192.586,090872
0 años	Mujeres	1 de enero de 2017	199.294,181125
0 años	Mujeres	1 de julio de 2016	199.005,968804
0 años	Mujeres	1 de enero de 2016	203.446,662635
0 años	Mujeres	1 de julio de 2015	202.289,509046
