cause,sex,age,year,deaths
001-008  I.Infectious and parasitic diseases (1),Males,1,2017,2.0145985401459856
001-008  I.Infectious and parasitic diseases (1),Males,1,2016,11.083333333333334
001-008  I.Infectious and parasitic diseases (1),Males,1,2015,6.09375
001-008  I.Infectious and parasitic diseases (1),Males,1,2014,6.125874125874126
001-008  I.Infectious and parasitic diseases (1),Males,1,2013,9.18
001-008  I.Infectious and parasitic diseases (1),Males,1,2012,10.3125
001-008  I.Infectious and parasitic diseases (1),Males,1,2011,11.245810055865922
001-008  I.Infectious and parasitic diseases (1),Males,1,2010,9.143617021276595
001-008  I.Infectious and parasitic diseases (1),Males,1,2009,14.387096774193548
001-008  I.Infectious and parasitic diseases (1),Males,1,2008,14.314606741573034
001-008  I.Infectious and parasitic diseases (1),Males,1,2007,14.28
001-008  I.Infectious and parasitic diseases (1),Males,1,2006,11
001-008  I.Infectious and parasitic diseases (1),Males,1,2005,18.412844036697248
001-008  I.Infectious and parasitic diseases (1),Males,1,2004,13.194029850746269
001-008  I.Infectious and parasitic diseases (1),Males,1,2003,12.148760330578513
001-008  I.Infectious and parasitic diseases (1),Males,1,2002,13.058823529411764
001-008  I.Infectious and parasitic diseases (1),Males,1,2001,14.129032258064516
001-008  I.Infectious and parasitic diseases (1),Males,1,2000,15.137614678899082
001-008  I.Infectious and parasitic diseases (1),Males,1,1999,26.50485436893204
001-008  I.Infectious and parasitic diseases (1),Males,1,1998,20.178571428571427
001-008  I.Infectious and parasitic diseases (1),Males,1,1997,35.133079847908746
001-008  I.Infectious and parasitic diseases (1),Males,1,1996,51.81210191082803
001-008  I.Infectious and parasitic diseases (1),Males,1,1995,34.236111111111114
001-008  I.Infectious and parasitic diseases (1),Males,1,1994,32.287425149700596
001-008  I.Infectious and parasitic diseases (1),Males,1,1993,43.259818731117825
001-008  I.Infectious and parasitic diseases (1),Males,1,1992,48.392370572207085
001-008  I.Infectious and parasitic diseases (1),Males,1,1991,36
001-008  I.Infectious and parasitic diseases (1),Males,1,1990,36
001-008  I.Infectious and parasitic diseases (1),Males,1,1989,39
001-008  I.Infectious and parasitic diseases (1),Males,1,1988,47
001-008  I.Infectious and parasitic diseases (1),Males,1,1987,42.19266055045872
001-008  I.Infectious and parasitic diseases (1),Males,1,1986,69.1256830601093
001-008  I.Infectious and parasitic diseases (1),Males,1,1985,51
001-008  I.Infectious and parasitic diseases (1),Males,1,1984,53
001-008  I.Infectious and parasitic diseases (1),Males,1,1983,90
001-008  I.Infectious and parasitic diseases (1),Males,1,1982,108
001-008  I.Infectious and parasitic diseases (1),Males,1,1981,137
001-008  I.Infectious and parasitic diseases (1),Males,1,1980,167.17822838847385
001-008  I.Infectious and parasitic diseases (1),Males,5,2021,4.095238095238095
001-008  I.Infectious and parasitic diseases (1),Males,5,2020,3
001-008  I.Infectious and parasitic diseases (1),Males,5,2019,2.0259740259740258
001-008  I.Infectious and parasitic diseases (1),Males,5,2018,3.058252427184466
001-008  I.Infectious and parasitic diseases (1),Males,5,2017,1
001-008  I.Infectious and parasitic diseases (1),Males,5,2016,2
001-008  I.Infectious and parasitic diseases (1),Males,5,2015,2.0168067226890756
001-008  I.Infectious and parasitic diseases (1),Males,5,2014,2.056603773584906
001-008  I.Infectious and parasitic diseases (1),Males,5,2013,2.0172413793103448
001-008  I.Infectious and parasitic diseases (1),Males,5,2012,3
001-008  I.Infectious and parasitic diseases (1),Males,5,2011,3
001-008  I.Infectious and parasitic diseases (1),Males,5,2010,1.017094017094017
001-008  I.Infectious and parasitic diseases (1),Males,5,2009,3.027027027027027
001-008  I.Infectious and parasitic diseases (1),Males,5,2008,5.128205128205129
001-008  I.Infectious and parasitic diseases (1),Males,5,2007,7.112
001-008  I.Infectious and parasitic diseases (1),Males,5,2006,4.0246913580246915
001-008  I.Infectious and parasitic diseases (1),Males,5,2005,2.0161290322580645
001-008  I.Infectious and parasitic diseases (1),Males,5,2004,7.052631578947368
001-008  I.Infectious and parasitic diseases (1),Males,5,2003,10.198675496688741
001-008  I.Infectious and parasitic diseases (1),Males,5,2002,9
001-008  I.Infectious and parasitic diseases (1),Males,5,2001,9.176470588235293
001-008  I.Infectious and parasitic diseases (1),Males,5,2000,10
001-008  I.Infectious and parasitic diseases (1),Males,5,1999,11.118918918918919
001-008  I.Infectious and parasitic diseases (1),Males,5,1998,9.041284403669724
001-008  I.Infectious and parasitic diseases (1),Males,5,1997,9
001-008  I.Infectious and parasitic diseases (1),Males,5,1996,12.114832535885167
001-008  I.Infectious and parasitic diseases (1),Males,5,1995,10.09478672985782
001-008  I.Infectious and parasitic diseases (1),Males,5,1994,14
001-008  I.Infectious and parasitic diseases (1),Males,5,1993,14.227642276422765
001-008  I.Infectious and parasitic diseases (1),Males,5,1992,16
001-008  I.Infectious and parasitic diseases (1),Males,5,1991,15.1
001-008  I.Infectious and parasitic diseases (1),Males,5,1990,14
001-008  I.Infectious and parasitic diseases (1),Males,5,1989,10
001-008  I.Infectious and parasitic diseases (1),Males,5,1988,16.04177545691906
001-008  I.Infectious and parasitic diseases (1),Males,5,1987,21.051980198019802
001-008  I.Infectious and parasitic diseases (1),Males,5,1986,22
001-008  I.Infectious and parasitic diseases (1),Males,5,1985,20
001-008  I.Infectious and parasitic diseases (1),Males,5,1984,23.046464646464646
001-008  I.Infectious and parasitic diseases (1),Males,5,1983,25
001-008  I.Infectious and parasitic diseases (1),Males,5,1982,34
001-008  I.Infectious and parasitic diseases (1),Males,5,1981,39
001-008  I.Infectious and parasitic diseases (1),Males,5,1980,53
001-008  I.Infectious and parasitic diseases (1),Males,10,2021,2.0172413793103448
001-008  I.Infectious and parasitic diseases (1),Males,10,2020,5.046296296296297
001-008  I.Infectious and parasitic diseases (1),Males,10,2019,2.0153846153846153
001-008  I.Infectious and parasitic diseases (1),Males,10,2018,1
001-008  I.Infectious and parasitic diseases (1),Males,10,2017,3
001-008  I.Infectious and parasitic diseases (1),Males,10,2016,1
001-008  I.Infectious and parasitic diseases (1),Males,10,2015,3
001-008  I.Infectious and parasitic diseases (1),Males,10,2014,1
001-008  I.Infectious and parasitic diseases (1),Males,10,2013,5
001-008  I.Infectious and parasitic diseases (1),Males,10,2012,0
001-008  I.Infectious and parasitic diseases (1),Males,10,2011,1.0076335877862594
001-008  I.Infectious and parasitic diseases (1),Males,10,2010,3.0431654676258995
001-008  I.Infectious and parasitic diseases (1),Males,10,2009,2
001-008  I.Infectious and parasitic diseases (1),Males,10,2008,3
001-008  I.Infectious and parasitic diseases (1),Males,10,2007,7.125748502994012
001-008  I.Infectious and parasitic diseases (1),Males,10,2006,4
001-008  I.Infectious and parasitic diseases (1),Males,10,2005,2.0229885057471266
001-008  I.Infectious and parasitic diseases (1),Males,10,2004,7.072164948453608
001-008  I.Infectious and parasitic diseases (1),Males,10,2003,10.151515151515152
001-008  I.Infectious and parasitic diseases (1),Males,10,2002,8.123076923076923
001-008  I.Infectious and parasitic diseases (1),Males,10,2001,9.089108910891088
001-008  I.Infectious and parasitic diseases (1),Males,10,2000,3.0136986301369864
001-008  I.Infectious and parasitic diseases (1),Males,10,1999,3
001-008  I.Infectious and parasitic diseases (1),Males,10,1998,4.034042553191489
001-008  I.Infectious and parasitic diseases (1),Males,10,1997,8.03238866396761
001-008  I.Infectious and parasitic diseases (1),Males,10,1996,18.185567010309278
001-008  I.Infectious and parasitic diseases (1),Males,10,1995,10.070422535211268
001-008  I.Infectious and parasitic diseases (1),Males,10,1994,23.15282392026578
001-008  I.Infectious and parasitic diseases (1),Males,10,1993,13.10655737704918
001-008  I.Infectious and parasitic diseases (1),Males,10,1992,10.173410404624278
001-008  I.Infectious and parasitic diseases (1),Males,10,1991,11.050343249427918
001-008  I.Infectious and parasitic diseases (1),Males,10,1990,17.035864978902953
001-008  I.Infectious and parasitic diseases (1),Males,10,1989,14.030973451327434
001-008  I.Infectious and parasitic diseases (1),Males,10,1988,10.02183406113537
001-008  I.Infectious and parasitic diseases (1),Males,10,1987,16
001-008  I.Infectious and parasitic diseases (1),Males,10,1986,18
001-008  I.Infectious and parasitic diseases (1),Males,10,1985,15
001-008  I.Infectious and parasitic diseases (1),Males,10,1984,19
001-008  I.Infectious and parasitic diseases (1),Males,10,1983,20.071556350626118
001-008  I.Infectious and parasitic diseases (1),Males,10,1982,29
001-008  I.Infectious and parasitic diseases (1),Males,10,1981,16.026666666666667
001-008  I.Infectious and parasitic diseases (1),Males,10,1980,27
001-008  I.Infectious and parasitic diseases (1),Males,15,2021,5.033003300330033
001-008  I.Infectious and parasitic diseases (1),Males,15,2020,10.125523012552302
001-008  I.Infectious and parasitic diseases (1),Males,15,2019,4.03030303030303
001-008  I.Infectious and parasitic diseases (1),Males,15,2018,0
001-008  I.Infectious and parasitic diseases (1),Males,15,2017,4
001-008  I.Infectious and parasitic diseases (1),Males,15,2016,5
001-008  I.Infectious and parasitic diseases (1),Males,15,2015,2.0072202166064983
001-008  I.Infectious and parasitic diseases (1),Males,15,2014,1.0042194092827004
001-008  I.Infectious and parasitic diseases (1),Males,15,2013,5.03921568627451
001-008  I.Infectious and parasitic diseases (1),Males,15,2012,0
001-008  I.Infectious and parasitic diseases (1),Males,15,2011,4.012738853503185
001-008  I.Infectious and parasitic diseases (1),Males,15,2010,3.017094017094017
001-008  I.Infectious and parasitic diseases (1),Males,15,2009,3.0070754716981134
001-008  I.Infectious and parasitic diseases (1),Males,15,2008,10.018975332068312
001-008  I.Infectious and parasitic diseases (1),Males,15,2007,10.034013605442176
001-008  I.Infectious and parasitic diseases (1),Males,15,2006,10.03448275862069
001-008  I.Infectious and parasitic diseases (1),Males,15,2005,10.029498525073747
001-008  I.Infectious and parasitic diseases (1),Males,15,2004,6.009090909090909
001-008  I.Infectious and parasitic diseases (1),Males,15,2003,5.006756756756757
001-008  I.Infectious and parasitic diseases (1),Males,15,2002,19.027027027027028
001-008  I.Infectious and parasitic diseases (1),Males,15,2001,10.026385224274406
001-008  I.Infectious and parasitic diseases (1),Males,15,2000,11.012775842044135
001-008  I.Infectious and parasitic diseases (1),Males,15,1999,15.032644178454841
001-008  I.Infectious and parasitic diseases (1),Males,15,1998,12.013157894736842
001-008  I.Infectious and parasitic diseases (1),Males,15,1997,23.094165813715456
001-008  I.Infectious and parasitic diseases (1),Males,15,1996,34.13905930470348
001-008  I.Infectious and parasitic diseases (1),Males,15,1995,28.0537944284342
001-008  I.Infectious and parasitic diseases (1),Males,15,1994,30.058365758754864
001-008  I.Infectious and parasitic diseases (1),Males,15,1993,39
001-008  I.Infectious and parasitic diseases (1),Males,15,1992,41.06184012066365
001-008  I.Infectious and parasitic diseases (1),Males,15,1991,26.034188034188034
001-008  I.Infectious and parasitic diseases (1),Males,15,1990,29.018159048215402
001-008  I.Infectious and parasitic diseases (1),Males,15,1989,22
001-008  I.Infectious and parasitic diseases (1),Males,15,1988,24
001-008  I.Infectious and parasitic diseases (1),Males,15,1987,19
001-008  I.Infectious and parasitic diseases (1),Males,15,1986,30
001-008  I.Infectious and parasitic diseases (1),Males,15,1985,27.042586750788644
001-008  I.Infectious and parasitic diseases (1),Males,15,1984,28
001-008  I.Infectious and parasitic diseases (1),Males,15,1983,25.019485580670302
001-008  I.Infectious and parasitic diseases (1),Males,15,1982,31.026518391787853
001-008  I.Infectious and parasitic diseases (1),Males,15,1981,21
001-008  I.Infectious and parasitic diseases (1),Males,15,1980,13
001-008  I.Infectious and parasitic diseases (1),Males,20,2021,14.055335968379447
001-008  I.Infectious and parasitic diseases (1),Males,20,2020,12
001-008  I.Infectious and parasitic diseases (1),Males,20,2019,4.028776978417266
001-008  I.Infectious and parasitic diseases (1),Males,20,2018,7.031890660592255
001-008  I.Infectious and parasitic diseases (1),Males,20,2017,7.017199017199017
001-008  I.Infectious and parasitic diseases (1),Males,20,2016,4.01
001-008  I.Infectious and parasitic diseases (1),Males,20,2015,3.0073891625615765
001-008  I.Infectious and parasitic diseases (1),Males,20,2014,10.021321961620469
001-008  I.Infectious and parasitic diseases (1),Males,20,2013,4.018475750577367
001-008  I.Infectious and parasitic diseases (1),Males,20,2012,7.0137795275590555
001-008  I.Infectious and parasitic diseases (1),Males,20,2011,11.018900343642612
001-008  I.Infectious and parasitic diseases (1),Males,20,2010,6.020304568527918
001-008  I.Infectious and parasitic diseases (1),Males,20,2009,2.0062794348508635
001-008  I.Infectious and parasitic diseases (1),Males,20,2008,7
001-008  I.Infectious and parasitic diseases (1),Males,20,2007,14
001-008  I.Infectious and parasitic diseases (1),Males,20,2006,11.011316872427983
001-008  I.Infectious and parasitic diseases (1),Males,20,2005,10.018382352941176
001-008  I.Infectious and parasitic diseases (1),Males,20,2004,13
001-008  I.Infectious and parasitic diseases (1),Males,20,2003,18.054054054054053
001-008  I.Infectious and parasitic diseases (1),Males,20,2002,16.011510791366906
001-008  I.Infectious and parasitic diseases (1),Males,20,2001,19.027377521613833
001-008  I.Infectious and parasitic diseases (1),Males,20,2000,22.028739386022206
001-008  I.Infectious and parasitic diseases (1),Males,20,1999,28.01818181818182
001-008  I.Infectious and parasitic diseases (1),Males,20,1998,31.076260762607625
001-008  I.Infectious and parasitic diseases (1),Males,20,1997,53
001-008  I.Infectious and parasitic diseases (1),Males,20,1996,123
001-008  I.Infectious and parasitic diseases (1),Males,20,1995,147.16433761878145
001-008  I.Infectious and parasitic diseases (1),Males,20,1994,148.39466666666667
001-008  I.Infectious and parasitic diseases (1),Males,20,1993,139
001-008  I.Infectious and parasitic diseases (1),Males,20,1992,189
001-008  I.Infectious and parasitic diseases (1),Males,20,1991,150.16879219804952
001-008  I.Infectious and parasitic diseases (1),Males,20,1990,161.06103108415465
001-008  I.Infectious and parasitic diseases (1),Males,20,1989,147
001-008  I.Infectious and parasitic diseases (1),Males,20,1988,108.0438845997562
001-008  I.Infectious and parasitic diseases (1),Males,20,1987,99
001-008  I.Infectious and parasitic diseases (1),Males,20,1986,50
001-008  I.Infectious and parasitic diseases (1),Males,20,1985,43
001-008  I.Infectious and parasitic diseases (1),Males,20,1984,30.032894736842106
001-008  I.Infectious and parasitic diseases (1),Males,20,1983,34
001-008  I.Infectious and parasitic diseases (1),Males,20,1982,28
001-008  I.Infectious and parasitic diseases (1),Males,20,1981,19
001-008  I.Infectious and parasitic diseases (1),Males,20,1980,17
001-008  I.Infectious and parasitic diseases (1),Males,25,2021,22.111298482293424
001-008  I.Infectious and parasitic diseases (1),Males,25,2020,43.14878892733564
001-008  I.Infectious and parasitic diseases (1),Males,25,2019,11.041044776119403
001-008  I.Infectious and parasitic diseases (1),Males,25,2018,6.010033444816053
001-008  I.Infectious and parasitic diseases (1),Males,25,2017,10.034305317324185
001-008  I.Infectious and parasitic diseases (1),Males,25,2016,11.041666666666666
001-008  I.Infectious and parasitic diseases (1),Males,25,2015,10
001-008  I.Infectious and parasitic diseases (1),Males,25,2014,11
001-008  I.Infectious and parasitic diseases (1),Males,25,2013,19
001-008  I.Infectious and parasitic diseases (1),Males,25,2012,14
001-008  I.Infectious and parasitic diseases (1),Males,25,2011,12.016260162601625
001-008  I.Infectious and parasitic diseases (1),Males,25,2010,20
001-008  I.Infectious and parasitic diseases (1),Males,25,2009,19.018322082931533
001-008  I.Infectious and parasitic diseases (1),Males,25,2008,35.03009458297507
001-008  I.Infectious and parasitic diseases (1),Males,25,2007,13
001-008  I.Infectious and parasitic diseases (1),Males,25,2006,31
001-008  I.Infectious and parasitic diseases (1),Males,25,2005,21.014904187366927
001-008  I.Infectious and parasitic diseases (1),Males,25,2004,44.056591639871385
001-008  I.Infectious and parasitic diseases (1),Males,25,2003,55.068664169787766
001-008  I.Infectious and parasitic diseases (1),Males,25,2002,82.04978749241045
001-008  I.Infectious and parasitic diseases (1),Males,25,2001,60.03731343283582
001-008  I.Infectious and parasitic diseases (1),Males,25,2000,97.16139767054908
001-008  I.Infectious and parasitic diseases (1),Males,25,1999,143.07918050941308
001-008  I.Infectious and parasitic diseases (1),Males,25,1998,188
001-008  I.Infectious and parasitic diseases (1),Males,25,1997,337.3256038647343
001-008  I.Infectious and parasitic diseases (1),Males,25,1996,695
001-008  I.Infectious and parasitic diseases (1),Males,25,1995,798.8583721764073
001-008  I.Infectious and parasitic diseases (1),Males,25,1994,814.1338912133891
001-008  I.Infectious and parasitic diseases (1),Males,25,1993,753.2592975206611
001-008  I.Infectious and parasitic diseases (1),Males,25,1992,762.4855049378783
001-008  I.Infectious and parasitic diseases (1),Males,25,1991,692.6511919698871
001-008  I.Infectious and parasitic diseases (1),Males,25,1990,536.3686382393397
001-008  I.Infectious and parasitic diseases (1),Males,25,1989,433
001-008  I.Infectious and parasitic diseases (1),Males,25,1988,261
001-008  I.Infectious and parasitic diseases (1),Males,25,1987,130.06268081002892
001-008  I.Infectious and parasitic diseases (1),Males,25,1986,72
001-008  I.Infectious and parasitic diseases (1),Males,25,1985,41.023644752018456
001-008  I.Infectious and parasitic diseases (1),Males,25,1984,19
001-008  I.Infectious and parasitic diseases (1),Males,25,1983,27.017186505410567
001-008  I.Infectious and parasitic diseases (1),Males,25,1982,32.022711142654366
001-008  I.Infectious and parasitic diseases (1),Males,25,1981,27.038028169014083
001-008  I.Infectious and parasitic diseases (1),Males,25,1980,28.01893171061528
001-008  I.Infectious and parasitic diseases (1),Males,30,2021,50
001-008  I.Infectious and parasitic diseases (1),Males,30,2020,46.0543093270366
001-008  I.Infectious and parasitic diseases (1),Males,30,2019,12.016172506738544
001-008  I.Infectious and parasitic diseases (1),Males,30,2018,14.01811125485123
001-008  I.Infectious and parasitic diseases (1),Males,30,2017,13
001-008  I.Infectious and parasitic diseases (1),Males,30,2016,27.03206650831354
001-008  I.Infectious and parasitic diseases (1),Males,30,2015,12.014598540145986
001-008  I.Infectious and parasitic diseases (1),Males,30,2014,26.114035087719298
001-008  I.Infectious and parasitic diseases (1),Males,30,2013,27.0279792746114
001-008  I.Infectious and parasitic diseases (1),Males,30,2012,34.0304114490161
001-008  I.Infectious and parasitic diseases (1),Males,30,2011,39.16511430990686
001-008  I.Infectious and parasitic diseases (1),Males,30,2010,49.03855232100708
001-008  I.Infectious and parasitic diseases (1),Males,30,2009,56
001-008  I.Infectious and parasitic diseases (1),Males,30,2008,64
001-008  I.Infectious and parasitic diseases (1),Males,30,2007,95.17592592592592
001-008  I.Infectious and parasitic diseases (1),Males,30,2006,99.0578947368421
001-008  I.Infectious and parasitic diseases (1),Males,30,2005,149.24019344438474
001-008  I.Infectious and parasitic diseases (1),Males,30,2004,159.08435013262599
001-008  I.Infectious and parasitic diseases (1),Males,30,2003,201.09361900326036
001-008  I.Infectious and parasitic diseases (1),Males,30,2002,221.52694325226514
001-008  I.Infectious and parasitic diseases (1),Males,30,2001,280.38443935926773
001-008  I.Infectious and parasitic diseases (1),Males,30,2000,333.76166514181153
001-008  I.Infectious and parasitic diseases (1),Males,30,1999,393.32942162615257
001-008  I.Infectious and parasitic diseases (1),Males,30,1998,490
001-008  I.Infectious and parasitic diseases (1),Males,30,1997,820
001-008  I.Infectious and parasitic diseases (1),Males,30,1996,1622.2919766206164
001-008  I.Infectious and parasitic diseases (1),Males,30,1995,1758.4527427246974
001-008  I.Infectious and parasitic diseases (1),Males,30,1994,1470.4045129334067
001-008  I.Infectious and parasitic diseases (1),Males,30,1993,1206.3541850220265
001-008  I.Infectious and parasitic diseases (1),Males,30,1992,1016.3040095751047
001-008  I.Infectious and parasitic diseases (1),Males,30,1991,782.0229207596594
001-008  I.Infectious and parasitic diseases (1),Males,30,1990,550.2034776174621
001-008  I.Infectious and parasitic diseases (1),Males,30,1989,341.2829875518672
001-008  I.Infectious and parasitic diseases (1),Males,30,1988,181.08643744030564
001-008  I.Infectious and parasitic diseases (1),Males,30,1987,115
001-008  I.Infectious and parasitic diseases (1),Males,30,1986,51
001-008  I.Infectious and parasitic diseases (1),Males,30,1985,30.038240917782026
001-008  I.Infectious and parasitic diseases (1),Males,30,1984,27.017341040462426
001-008  I.Infectious and parasitic diseases (1),Males,30,1983,30.0382897255903
001-008  I.Infectious and parasitic diseases (1),Males,30,1982,37.02508474576271
001-008  I.Infectious and parasitic diseases (1),Males,30,1981,36.04648160103292
001-008  I.Infectious and parasitic diseases (1),Males,30,1980,40.02416918429003
001-008  I.Infectious and parasitic diseases (1),Males,35,2021,67.16570486397362
001-008  I.Infectious and parasitic diseases (1),Males,35,2020,99.39759036144578
001-008  I.Infectious and parasitic diseases (1),Males,35,2019,22.0718954248366
001-008  I.Infectious and parasitic diseases (1),Males,35,2018,24.03791469194313
001-008  I.Infectious and parasitic diseases (1),Males,35,2017,18
001-008  I.Infectious and parasitic diseases (1),Males,35,2016,41.093607305936075
001-008  I.Infectious and parasitic diseases (1),Males,35,2015,35.04847645429363
001-008  I.Infectious and parasitic diseases (1),Males,35,2014,50.03765060240964
001-008  I.Infectious and parasitic diseases (1),Males,35,2013,57.07640750670241
001-008  I.Infectious and parasitic diseases (1),Males,35,2012,70.08191925102399
001-008  I.Infectious and parasitic diseases (1),Males,35,2011,87.04898648648648
001-008  I.Infectious and parasitic diseases (1),Males,35,2010,113.06036324786325
001-008  I.Infectious and parasitic diseases (1),Males,35,2009,156.0773042616452
001-008  I.Infectious and parasitic diseases (1),Males,35,2008,211.3791554357592
001-008  I.Infectious and parasitic diseases (1),Males,35,2007,260.1089689857502
001-008  I.Infectious and parasitic diseases (1),Males,35,2006,235.380105135463
001-008  I.Infectious and parasitic diseases (1),Males,35,2005,340.38432554634517
001-008  I.Infectious and parasitic diseases (1),Males,35,2004,410.4347826086956
001-008  I.Infectious and parasitic diseases (1),Males,35,2003,413.44989106753815
001-008  I.Infectious and parasitic diseases (1),Males,35,2002,449.3185526782547
001-008  I.Infectious and parasitic diseases (1),Males,35,2001,479.4901091405184
001-008  I.Infectious and parasitic diseases (1),Males,35,2000,503.1714383094751
001-008  I.Infectious and parasitic diseases (1),Males,35,1999,526.7195622435021
001-008  I.Infectious and parasitic diseases (1),Males,35,1998,474
001-008  I.Infectious and parasitic diseases (1),Males,35,1997,711.4578235672891
001-008  I.Infectious and parasitic diseases (1),Males,35,1996,1230.341571785615
001-008  I.Infectious and parasitic diseases (1),Males,35,1995,1104.3203714451538
001-008  I.Infectious and parasitic diseases (1),Males,35,1994,814.7718078381795
001-008  I.Infectious and parasitic diseases (1),Males,35,1993,682
001-008  I.Infectious and parasitic diseases (1),Males,35,1992,514.3651865008881
001-008  I.Infectious and parasitic diseases (1),Males,35,1991,364.1345656192237
001-008  I.Infectious and parasitic diseases (1),Males,35,1990,252
001-008  I.Infectious and parasitic diseases (1),Males,35,1989,185
001-008  I.Infectious and parasitic diseases (1),Males,35,1988,151.1274799493457
001-008  I.Infectious and parasitic diseases (1),Males,35,1987,89.03917253521126
001-008  I.Infectious and parasitic diseases (1),Males,35,1986,53
001-008  I.Infectious and parasitic diseases (1),Males,35,1985,53.02450300508553
001-008  I.Infectious and parasitic diseases (1),Males,35,1984,49
001-008  I.Infectious and parasitic diseases (1),Males,35,1983,54.026328620185275
001-008  I.Infectious and parasitic diseases (1),Males,35,1982,44
001-008  I.Infectious and parasitic diseases (1),Males,35,1981,56.0287326834274
001-008  I.Infectious and parasitic diseases (1),Males,35,1980,54.028346456692915
001-008  I.Infectious and parasitic diseases (1),Males,40,2021,170.15447523852794
001-008  I.Infectious and parasitic diseases (1),Males,40,2020,165.0726232394366
001-008  I.Infectious and parasitic diseases (1),Males,40,2019,53
001-008  I.Infectious and parasitic diseases (1),Males,40,2018,51.06888788833859
001-008  I.Infectious and parasitic diseases (1),Males,40,2017,68.03065825067628
001-008  I.Infectious and parasitic diseases (1),Males,40,2016,71.15495416848538
001-008  I.Infectious and parasitic diseases (1),Males,40,2015,112.19186295503212
001-008  I.Infectious and parasitic diseases (1),Males,40,2014,115.18668831168831
001-008  I.Infectious and parasitic diseases (1),Males,40,2013,133.1051799130091
001-008  I.Infectious and parasitic diseases (1),Males,40,2012,171.48270995059985
001-008  I.Infectious and parasitic diseases (1),Males,40,2011,215.22066370167636
001-008  I.Infectious and parasitic diseases (1),Males,40,2010,256.16436597110754
001-008  I.Infectious and parasitic diseases (1),Males,40,2009,293.18103181958605
001-008  I.Infectious and parasitic diseases (1),Males,40,2008,371.42063492063494
001-008  I.Infectious and parasitic diseases (1),Males,40,2007,461.24307935670976
001-008  I.Infectious and parasitic diseases (1),Males,40,2006,410
001-008  I.Infectious and parasitic diseases (1),Males,40,2005,440
