cause,sex,age,year,deaths,pop,mxc
001-008  I.Infectious and parasitic diseases (1),Males,0,1992,44.2714126807564,201608.572032,2.1959092430717426e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1991,76.04705882352941,198765.59375,3.8259669286213883e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1990,75.8146551724138,201912.131879,3.7548340690022176e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1989,104.79690522243712,207889.257102,5.040996667327497e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1988,99.63509991311902,213211.42421299996,4.673065727171483e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1987,112.69021739130434,219924.385819,5.124043746747099e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1986,140.22060957910014,226573.510912,6.188746822816419e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1985,135.48042704626334,239591.17694700003,5.654650090734893e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1984,195.2896691424713,247075.393938,7.904051715950169e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1983,182.1605504587156,256925.900756,7.090003379289957e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1982,221.07184241019695,276140.787256,8.005765631617808e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1981,308.62314540059344,296547.497095,0.001040720789835987
001-008  I.Infectious and parasitic diseases (1),Males,1,2021,3,612155.455733,4.90071594054124e-6
001-008  I.Infectious and parasitic diseases (1),Males,1,2020,2.034782608695652,641978.877881,3.1695475954161035e-6
001-008  I.Infectious and parasitic diseases (1),Males,1,2019,7,661425.124361,1.0583208502644453e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2018,6.170212765957447,667556.8036859999,9.242977873774684e-6
001-008  I.Infectious and parasitic diseases (1),Males,1,2017,2.0145985401459856,673098.023333,2.993024002908576e-6
001-008  I.Infectious and parasitic diseases (1),Males,1,2016,11.083333333333334,687649.877685,1.611769840001398e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2015,6.09375,710174.7729249999,8.580634278096988e-6
001-008  I.Infectious and parasitic diseases (1),Males,1,2014,6.125874125874126,733832.0524250001,8.3477876247443e-6
001-008  I.Infectious and parasitic diseases (1),Males,1,2013,9.18,758214.9843509999,1.2107384039445874e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2012,10.3125,778022.027063,1.3254766113665507e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2011,11.245810055865922,784217.2458380001,1.4340171828086817e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2010,9.143617021276595,773657.216048,1.1818692867603651e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2009,14.387096774193548,757098.6474499999,1.9002935512632383e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2008,14.314606741573034,741363.6833259999,1.9308481199609116e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2007,14.28,718541.783704,1.9873583309780883e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2006,11,692197.7060959999,1.589141354142891e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2005,18.412844036697248,668372.339318,2.754878224835803e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2004,13.194029850746269,646424.709062,2.0410775865748658e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2003,12.148760330578511,622622.7933550001,1.9512231900658458e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2002,13.058823529411764,593696.491232,2.1995790310825238e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2001,14.129032258064516,571038.889339,2.4742679564993248e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,2000,15.137614678899082,564566.267122,2.6812821736704855e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1999,26.50485436893204,564379.800446,4.696279765503059e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1998,20.178571428571427,571246.469513,3.5323756916649476e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1997,35.133079847908746,586120.124579,5.9941773664816965e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1996,51.81210191082803,601293.053251,8.616780391973015e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1995,34.236111111111114,609836.9918440001,5.6139774347878386e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1994,32.287425149700596,612030.36757,5.275461294166547e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1993,43.259818731117825,613240.765625,7.054295988791364e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1992,48.392370572207085,618112,7.829061816015072e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1991,36,626859.4375,5.742914255797577e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1990,36,647365.1177920001,5.561003985322373e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1989,39,676764.309737,5.762715237621786e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1988,47,707338.826704,6.644623230850592e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1987,42.19266055045872,739092.1256339999,5.70871466317754e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1986,69.1256830601093,774965.693645,8.919837823398505e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1985,51,816545.529932,6.2458244066619485e-05
001-008  I.Infectious and parasitic diseases (1),Males,1,1984,53,858652.03026,6.172465461235978e-5
001-008  I.Infectious and parasitic diseases (1),Males,1,1983,90,897249.8066120001,1.0030651367854673e-4
001-008  I.Infectious and parasitic diseases (1),Males,1,1982,108,933187.896981,1.1573231966402037e-4
001-008  I.Infectious and parasitic diseases (1),Males,1,1981,137,968189.397452,1.4150123969601937e-4
001-008  I.Infectious and parasitic diseases (1),Males,5,2021,4.095238095238095,1169162.926766,3.5027095039404452e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2020,3,1192297.558043,2.516150418796551e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2019,2.0259740259740258,1207455.456579,1.677887175825167e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2018,3.058252427184466,1231620.767676,2.483112097042029e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2017,1,1258470.938182,7.946150917434853e-7
001-008  I.Infectious and parasitic diseases (1),Males,5,2016,2,1272932.50014,1.571175219251638e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2015,2.0168067226890756,1279615.778801,1.5761033554766132e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2014,2.056603773584906,1279294.698136,1.6076075173151944e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2013,2.0172413793103448,1266861.260553,1.5923143615819422e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2012,3,1245232.991016,2.4091876955109143e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2011,3,1219745.710449,2.4595290430623212e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2010,1.017094017094017,1196138.671921,8.503144668507064e-7
001-008  I.Infectious and parasitic diseases (1),Males,5,2009,3.027027027027027,1172490.123931,2.581707909724931e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2008,5.128205128205129,1140367.855083,4.4969744677973936e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2007,7.112,1102740.094058,6.449389151915552e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2006,4.0246913580246915,1065269.805022,3.7780957829191197e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2005,2.0161290322580645,1030970.002471,1.955565173987471e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2004,7.052631578947368,1005157.324393,7.0164454934518345e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2003,10.19867549668874,990537.722212,1.029610005554737e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,2002,9,981895.314744,9.165946577865567e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2001,9.176470588235292,985611.992231,9.310429114669886e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,2000,10,1004253.246761,9.957647667311827e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,1999,11.11891891891892,1022949.179538,1.0869473421876751e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1998,9.041284403669724,1038007.359187,8.710231506211231e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,1997,9,1047232.302421,8.594081732576171e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,1996,12.114832535885167,1057497.5,1.1456133499970607e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1995,10.09478672985782,1075069.578125,9.389891533777624e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,1994,14,1102159.6875,1.2702333571785622e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1993,14.227642276422763,1136842.34375,1.2515053080703622e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1992,16,1179754.6875,1.356214149392816e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1991,15.1,1231264.390625,1.2263816053622012e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1990,14,1291925.328292,1.0836539615264613e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1989,10,1355273.6345,7.378583737954359e-6
001-008  I.Infectious and parasitic diseases (1),Males,5,1988,16.04177545691906,1424142.0395890002,1.126416818756971e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1987,21.0519801980198,1493566.6940509998,1.4095105549602561e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1986,22,1555652.412748,1.414197658790491e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1985,20,1610708.848227,1.2416893358483224e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1984,23.04646464646465,1654931.0300270002,1.3925936627152762e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1983,25,1682838.300959,1.4855853937810447e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1982,34,1698409.420776,2.00187302214006e-5
001-008  I.Infectious and parasitic diseases (1),Males,5,1981,39,1704269.472207,2.288370509242043e-5
001-008  I.Infectious and parasitic diseases (1),Males,10,2021,2.0172413793103448,1305667.796712,1.5449882308426893e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2020,5.046296296296297,1309907.983772,3.852405175640677e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2019,2.0153846153846153,1299543.018134,1.5508410166201998e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2018,1,1275249.592666,7.841602191061508e-7
001-008  I.Infectious and parasitic diseases (1),Males,10,2017,3,1246033.013611,2.4076408628259446e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2016,1,1218494.621481,8.206847879103199e-7
001-008  I.Infectious and parasitic diseases (1),Males,10,2015,3,1195593.094914,2.5092148932290315e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2014,1,1176060.877531,8.502961191085458e-7
001-008  I.Infectious and parasitic diseases (1),Males,10,2013,5,1155180.403915,4.328328270679276e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2012,0,1139620.673084,0
001-008  I.Infectious and parasitic diseases (1),Males,10,2011,1.0076335877862594,1123704.352558,8.967070257336664e-7
001-008  I.Infectious and parasitic diseases (1),Males,10,2010,3.0431654676258995,1104277.098638,2.755798767699971e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2009,2,1088524.656373,1.8373492858343382e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2008,3,1078629.171751,2.7813080515242596e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2007,7.125748502994012,1071884.735755,6.647868250474592e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2006,4,1070743.261519,3.7357227859883397e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2005,2.022988505747126,1074987.26595,1.881872064744272e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2004,7.072164948453608,1082450.399845,6.533477145434375e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2003,10.151515151515152,1087619.129065,9.3337041251216e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2002,8.123076923076923,1083301.182534,7.49844738845005e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2001,9.089108910891088,1086070.84375,8.368799294443898e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,2000,3.0136986301369864,1105523.4375,2.7260377554293022e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1999,3,1131783.96875,2.6506825355667063e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1998,4.034042553191489,1164645.4375,3.4637516477554477e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1997,8.03238866396761,1206762.640625,6.656146282261042e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1996,18.18556701030928,1259196.75,1.4442196591048445e-5
001-008  I.Infectious and parasitic diseases (1),Males,10,1995,10.070422535211268,1317394.4375,7.644196945541808e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1994,23.15282392026578,1376721.84375,1.6817357860176525e-5
001-008  I.Infectious and parasitic diseases (1),Males,10,1993,13.10655737704918,1440735.53125,9.097129273738234e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1992,10.173410404624278,1503940.8125,6.764501847458361e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1991,11.050343249427918,1560488.734375,7.081334844659261e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1990,17.035864978902953,1616743.0115520002,1.0537150837936386e-5
001-008  I.Infectious and parasitic diseases (1),Males,10,1989,14.030973451327434,1661327.132502,8.44564154574207e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1988,10.02183406113537,1687563.9959840002,5.938639414555505e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1987,16,1702162.447251,9.399807888982671e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1986,18,1707459.486582,1.0541977798859802e-5
001-008  I.Infectious and parasitic diseases (1),Males,10,1985,15,1702864.584363,8.808686338151271e-6
001-008  I.Infectious and parasitic diseases (1),Males,10,1984,19,1695015.2864940001,1.1209338435702217e-5
001-008  I.Infectious and parasitic diseases (1),Males,10,1983,20.07155635062612,1687403.7505410002,1.1894934063167135e-5
001-008  I.Infectious and parasitic diseases (1),Males,10,1982,29,1685005.402293,1.721062731344127e-5
001-008  I.Infectious and parasitic diseases (1),Males,10,1981,16.026666666666667,1690987.09749,9.477698966748883e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2021,5.033003300330033,1270361.972411,3.961865523082351e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2020,10.125523012552302,1250834.04827,8.095017102034185e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2019,4.03030303030303,1221434.111543,3.2996483332299216e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2018,0,1183144.723594,0
001-008  I.Infectious and parasitic diseases (1),Males,15,2017,4,1154658.086455,3.464228975592845e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2016,5,1134343.025826,4.407837740580392e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2015,2.0072202166064983,1115879.893525,1.7987780120903567e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2014,1.0042194092827004,1104523.414301,9.091879776203954e-7
001-008  I.Infectious and parasitic diseases (1),Males,15,2013,5.03921568627451,1107763.936949,4.548997776686522e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2012,0,1123374.81878,0
001-008  I.Infectious and parasitic diseases (1),Males,15,2011,4.012738853503185,1140016.588147,3.5198951447062283e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2010,3.017094017094017,1157537.71643,2.6064757754927723e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2009,3.0070754716981134,1177352.566873,2.5540993890086656e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2008,10.018975332068312,1191981.049901,8.405314273159324e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2007,10.034013605442176,1190363.603001,8.429368623289255e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2006,10.03448275862069,1184814.96712,8.469240376843064e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2005,10.029498525073748,1192886.211804,8.407757945249575e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2004,6.009090909090909,1203677.87607,4.992274950429885e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2003,5.006756756756757,1223545.768217,4.092006107832651e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2002,19.027027027027028,1247538.9406,1.5251649794495423e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,2001,10.026385224274406,1286006.609375,7.796526978307862e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,2000,11.012775842044135,1346769.75,8.177177904422144e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,1999,15.03264417845484,1410324.109375,1.0658999643079714e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1998,12.013157894736842,1478980.3125,8.122594867020478e-6
001-008  I.Infectious and parasitic diseases (1),Males,15,1997,23.094165813715456,1546882.734375,1.4929487090724033e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1996,34.13905930470348,1606719.25,2.1247681761890562e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1995,28.0537944284342,1657736,1.6922956627855217e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1994,30.058365758754864,1693896.5625,1.7745101102508947e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1993,39,1710374.03125,2.2802030016497307e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1992,41.06184012066365,1714739.625,2.3946399512791136e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1991,26.03418803418803,1711145.203125,1.5214482082901424e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1990,29.0181590482154,1702295.921688,1.7046483327905136e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1989,22,1692763.321619,1.2996500880559406e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1988,24,1683712.0871410002,1.4254218511166483e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1987,19,1677485.650968,1.1326475424118217e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1986,30,1675781.89189,1.79020910448943e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1985,27.042586750788644,1678102.588378,1.6114978272530486e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1984,28,1687270.93041,1.659484525890345e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1983,25.019485580670302,1697764.806827,1.4736720587011056e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1982,31.026518391787853,1694826.820904,1.8306601010266457e-5
001-008  I.Infectious and parasitic diseases (1),Males,15,1981,21,1677808.73979,1.2516325312877097e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,2021,14.055335968379447,1235830.371017,1.1373191902391031e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,2020,12,1217067.749076,9.859763360840366e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2019,4.028776978417266,1185561.718109,3.398200968266135e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2018,7.031890660592255,1158416.580423,6.0702607157302034e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2017,7.017199017199017,1150664.306336,6.0983894073707e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2016,4.01,1157128.678226,3.4654745625592407e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2015,3.0073891625615765,1171440.131874,2.567258096024536e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2014,10.021321961620467,1193077.086123,8.399559490481507e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2013,4.018475750577367,1223040.683789,3.2856435634896982e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2012,7.0137795275590555,1256985.860884,5.579839635289514e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2011,11.018900343642612,1288309.118393,8.552994142731267e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2010,6.020304568527918,1327179.3952,4.536164884944349e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2009,2.0062794348508635,1378811.2433039998,1.45507910861191e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2008,7,1426683.923557,4.906482707499529e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2007,14,1449065.949256,9.661396023547498e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2006,11.011316872427985,1468584.083428,7.497913804652666e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2005,10.018382352941176,1516171.462638,6.607684288893094e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2004,13,1541264.952569,8.434630255058635e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2003,18.054054054054053,1589771.810126,1.1356380795696175e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,2002,16.011510791366906,1624397.843046,9.856889960739433e-6
001-008  I.Infectious and parasitic diseases (1),Males,20,2001,19.027377521613833,1649878.765625,1.1532591314008435e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,2000,22.02873938602221,1701280.5,1.2948328853485483e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1999,28.01818181818182,1737372.40625,1.612675654188451e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1998,31.076260762607625,1753119.8125,1.7726261799695237e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1997,53,1754100.09375,3.0214923417907148e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1996,123,1745826.25,7.045374647104773e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1995,147.16433761878145,1728522.890625,8.513878434411111e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1994,148.39466666666667,1708922.375,8.683522952098199e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1993,139,1690625.09375,8.221811004335804e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1992,189,1674073.6875,1.1289825615875107e-4
001-008  I.Infectious and parasitic diseases (1),Males,20,1991,150.16879219804952,1657385.421875,9.060583628650695e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1990,161.06103108415465,1649134.2162780005,9.766399210833184e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1989,147,1652177.4826100003,8.897349198088522e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1988,108.0438845997562,1656525.954552,6.522317643310103e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1987,99,1648938.597304,6.003862130576852e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1986,50,1631146.3054149998,3.065328955104299e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1985,43,1609980.7279440002,2.6708394239546244e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1984,30.032894736842103,1580792.730294,1.8998629081028548e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1983,34,1549606.913345,2.194104821500002e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1982,28,1524800.725014,1.836305527710378e-5
001-008  I.Infectious and parasitic diseases (1),Males,20,1981,19,1494005.846945,1.2717487042538636e-5
001-008  I.Infectious and parasitic diseases (1),Males,25,2021,22.111298482293424,1275673.951768,1.7333032826803923e-5
001-008  I.Infectious and parasitic diseases (1),Males,25,2020,43.14878892733564,1286450.930418,3.354095201541462e-5
001-008  I.Infectious and parasitic diseases (1),Males,25,2019,11.041044776119405,1279118.738951,8.631759069665511e-6
001-008  I.Infectious and parasitic diseases (1),Males,25,2018,6.010033444816053,1265492.089228,4.749167138992082e-6
001-008  I.Infectious and parasitic diseases (1),Males,25,2017,10.034305317324185,1260861.401175,7.958293677618483e-6
001-008  I.Infectious and parasitic diseases (1),Males,25,2016,11.041666666666666,1272633.406127,8.676235130641214e-6
001-008  I.Infectious and parasitic diseases (1),Males,25,2015,10,1301374.27892,7.684184451761963e-6
001-008  I.Infectious and parasitic diseases (1),Males,25,2014,11,1347887.60939,8.16091781196665e-6
001-008  I.Infectious and parasitic diseases (1),Males,25,2013,19,1414300.9828760002,1.3434198399101188e-5
001-008  I.Infectious and parasitic diseases (1),Males,25,2012,14,1502349.604895,9.318736434172702e-6
001-008  I.Infectious and parasitic diseases (1),Males,25,2011,12.016260162601624,1593239.348256,7.542030753731337e-6
001-008  I.Infectious and parasitic diseases (1),Males,25,2010,20,1688844.003724,1.184241999610315e-5
001-008  I.Infectious and parasitic diseases (1),Males,25,2009,19.018322082931533,1788166.783566,1.0635653372894443e-5
001-008  I.Infectious and parasitic diseases (1),Males,25,2008,35.03009458297507,1873174.935277,1.870091998524148e-5
001-008  I.Infectious and parasitic diseases (1),Males,25,2007,13,1913537.978137,6.793698452045702e-6
