cause,sex,age,2020,2019,contrib
009-041  II.Tumours,Females,65,0.00321299444024684,0.00314866291026557,-0.006064095722408069
009-041  II.Tumours,Females,70,0.00417391537438458,0.00413543650530495,-0.0027542428919247186
009-041  II.Tumours,Females,75,0.00565266422626088,0.00573094733716006,0.003920409407982106
009-041  II.Tumours,Females,80,0.00849359149316241,0.00835039106619723,-0.004394980786258884
009-041  II.Tumours,Females,85,0.01180207398760917,0.01197476726040392,0.0026158361808796826
009-041  II.Tumours,Females,90,0.01493351384236768,0.01507247587923306,7.055370820836515e-4
009-041  II.Tumours,Females,95,0.01649050576917549,0.01657227908888311,0
009-041  II.Tumours,Males,0,6.143967020770572e-5,7.416698217540133e-5,0.001014350326585145
009-041  II.Tumours,Males,1,4.754321393124155e-5,2.5702077792136528e-5,-0.00672624093007812
009-041  II.Tumours,Males,5,2.012920335037241e-5,1.929570252198942e-5,-3.0217257568665445e-4
009-041  II.Tumours,Males,10,3.004876036999728e-5,3.41185023656444e-5,0.0013740773687800356
009-041  II.Tumours,Males,15,3.9665583799967496e-5,3.7121043748836624e-5,-7.957855247866519e-4
009-041  II.Tumours,Males,20,5.587199237809541e-5,4.1627961861260155e-5,-0.004100541442241479
009-041  II.Tumours,Males,25,6.0061704771788977e-5,4.3943500718297136e-5,-0.004240033498064122
009-041  II.Tumours,Males,30,9.498991035600512e-5,7.704944078582204e-5,-0.004275098960306423
009-041  II.Tumours,Males,35,1.336228576435182e-4,1.3863898325704407e-4,0.0010714423649176297
009-041  II.Tumours,Males,40,2.547248642429148e-4,2.5156393658121824e-4,-5.974099662893195e-4
009-041  II.Tumours,Males,45,5.56007570227772e-4,5.797471309358537e-4,0.0039059181380736163
009-041  II.Tumours,Males,50,0.00125882301520715,0.00134173000835964,0.011632701164188575
009-041  II.Tumours,Males,55,0.00255372797893527,0.00266024527394602,0.012413403843197557
009-041  II.Tumours,Males,60,0.00445752625367236,0.00465976681141234,0.018908970273258774
009-041  II.Tumours,Males,65,0.006773614726959,0.00692387493185649,0.010755646913210626
009-041  II.Tumours,Males,70,0.00949714424695809,0.00976121027113027,0.013541974641626098
009-041  II.Tumours,Males,75,0.01311421080484099,0.01322323773606053,0.003627939413931358
009-041  II.Tumours,Males,80,0.018542785685606,0.01927064687423051,0.013478633776770721
009-041  II.Tumours,Males,85,0.02498811857625843,0.02558298649451587,0.004836701941371757
009-041  II.Tumours,Males,90,0.03088573986357995,0.0319128311143709,0.002476993995514931
009-041  II.Tumours,Males,95,0.03304306519980505,0.03231542980167006,0
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,0,1.3115140011109923e-5,9.304879943175832e-5,0.006801215123346083
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,1,3.3467883323054607e-6,4.854187940390872e-6,4.965497389690654e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,5,1.809890434900215e-6,8.818018624093147e-7,-3.6132932584109767e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,10,0,8.201830123571702e-7,2.9888087087215354e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,15,8.611955125423364e-7,1.7488190694198502e-6,3.013456695697414e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,20,8.817170515935453e-7,8.946901824339458e-7,4.081360202690121e-6
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,25,8.014968264317184e-7,1.6111653902004511e-6,2.3457878515387165e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,30,2.193537402677084e-6,0,-5.809946838297719e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,35,2.4621091213006794e-6,3.5649377312527298e-6,2.647266857991326e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,40,3.090505616580924e-6,2.5570829147493664e-06,-1.1482959763498002e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,45,5.691453199063596e-6,3.6807214039293806e-6,-3.8319260377761566e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,50,7.0508715069901725e-6,9.842460768412193e-6,4.6343898553402596e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,55,1.1601730640988254e-5,1.189196081270406e-5,4.1119462721894706e-5
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,60,1.5736610132293165e-5,2.037576273004536e-5,5.460539714192691e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,65,3.1148758509421695e-5,2.376349366238172e-5,-6.961586795597441e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,70,3.0270135672410355e-5,4.23105842572637e-5,8.618319800604013e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,75,8.995198045406106e-5,7.8841811293892e-5,-5.563960246206534e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,80,1.967627372933378e-4,1.7554144177827545e-4,-6.513052231724714e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,85,4.520826933531937e-4,4.2520612675961953e-4,-4.071073190914376e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,90,9.273417333916504e-4,0.00102209375311255,4.810742920966504e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Females,95,0.00234216052377106,0.00191808785750961,0
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,0,4.915173616616458e-5,9.888930956720176e-5,0.003964020364236376
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,1,0,0,0
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,5,0,2.5168307637377505e-6,9.124372869138142e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,10,2.311443105384406e-6,7.754205083100999e-7,-5.186112266954979e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,15,8.095017102034185e-7,3.2996483332299216e-6,7.787743943197256e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,20,2.4649408402100915e-6,2.548650726199601e-6,2.4098225296143028e-5
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,25,1.5600442797867268e-6,3.923526849847959e-6,6.217346073782437e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,30,3.625569097557447e-6,2.1602646949295898e-6,-3.491726514681659e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,35,4.948994727537711e-6,2.380068382095177e-6,-5.487216092348035e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,40,4.566780434633931e-6,3.9930783584320355e-6,-1.0842871922989161e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,45,3.049401664868951e-6,6.189471148781356e-6,5.166420096429647e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,50,1.1443845592792342e-5,8.241584817933937e-6,-4.493100187374921e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,55,1.1373847069800808e-5,1.8376089849961037e-5,8.160333721178858e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,60,2.5018856428469765e-5,1.801920654065097e-5,-6.544492020026382e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,65,4.096944391305852e-5,4.7744874780856e-5,4.8498630854965086e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,70,6.744575473858673e-5,6.58346172906914e-5,-8.262320957896918e-5
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,75,1.2256271780225223e-4,1.2807009913860077e-4,1.8326156292403084e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,80,2.0420729398516288e-4,2.212000322139299e-4,3.146738673223126e-4
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,85,5.2797609405102e-4,5.255635268982064e-4,-1.961589771326544e-5
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,90,0.00129146608926379,0.0012686129007617,-5.511410066105782e-5
"042-043  III. Diseases of blood and haematopoeitic organs, and certain disorders involving the immune mechan",Males,95,0.00214686581806642,0.00212172013849348,0
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,0,6.55757000555496e-5,2.3926834139594995e-4,0.014778768139549925
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,1,1.3387153329221845e-5,1.1326438527578702e-5,-6.788162816633303e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,5,4.5247260872505375e-6,2.6454055872279444e-06,-7.316689692657974e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,10,2.4438258117478157e-6,0,-8.905485432535443e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,15,8.611955125423364e-7,3.4976381388397004e-6,8.950647627585795e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,20,5.290302309561273e-6,1.7893803648678917e-6,-0.0011013936124300017
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,25,4.808980958590311e-6,2.4167480853006767e-6,-6.930824615238862e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,30,2.193537402677084e-6,4.304058922795287e-6,5.590065534022415e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,35,8.001854644227208e-6,7.724031751047583e-6,-6.668954100064184e-5
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,40,8.756432580312618e-6,1.1251164824897211e-5,5.370395728903077e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,45,2.017878861486184e-5,1.1042164211788144e-5,-0.0017412003445116397
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,50,2.4406862908812137e-5,3.171459580932817e-5,0.0012131757235778196
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,55,5.336796094854597e-5,4.340565696636981e-5,-0.001411447282151812
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,60,9.900950541567784e-5,8.625739555719203e-5,-0.0015009940038339664
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,65,1.5963738736078618e-4,1.631759898150211e-4,3.3355998235151674e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,70,3.3717567790657094e-4,2.8263470283852146e-4,-0.0039039373165508096
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,75,6.961056669229044e-4,6.829405545862806e-4,-6.593073483003309e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,80,0.00175381186507461,0.00150811881002211,-0.007540593832629838
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,85,0.00372528919045811,0.00320589374062535,-0.0078674368071745
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,90,0.00686564076186032,0.00622114397727838,-0.0032722345714404355
"044-045  IV.Endocrine, nutritional and metabolic diseases",Females,95,0.01199694892718937,0.01034671392850903,0
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,0,1.4745520849849376e-4,2.3486211022210416e-4,0.006966217181698653
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,1,1.2678190381664414e-5,1.814264314739049e-5,0.0016828440433869218
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,5,4.193584031327585e-6,1.0067323054951002e-5,0.00212943141663402
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,10,3.852405175640677e-6,3.8771025415505e-6,8.338634600590922e-6
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,15,4.047508551017092e-6,1.6498241666149608e-6,-7.498575332789414e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,20,3.2865877869467884e-6,4.247751210332668e-6,2.76697697728423e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,25,6.240177119146907e-6,3.1388214798783672e-6,-8.158385237635457e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,30,5.800910556091916e-6,2.1602646949295898e-6,-8.675425843733819e-4
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,35,1.3609735500728706e-5,8.925256432856913e-6,-0.0010006027993654243
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,40,1.8267121738535725e-5,1.2478369870100112e-5,-0.0010940642838619397
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,45,2.795284859463205e-5,2.836840943191455e-5,6.837306855800307e-5
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,50,6.757318350029764e-5,5.219670384691493e-5,-0.0021574777465644956
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,55,1.1613296481796615e-4,1.047437121447779e-4,-0.0013272904919574557
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,60,2.0710053376899972e-4,1.9604896716228265e-4,-0.0010332929593204199
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,65,3.678714651360046e-4,3.3855456662788e-4,-0.0020985077794506424
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,70,6.7641249679858e-4,5.591029438567672e-4,-0.006015931037765654
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,75,0.00110051107026605,9.49853235277956e-4,-0.005013233808185191
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,80,0.00211077819764102,0.00195893248867421,-0.0028118997561534798
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,85,0.00412756311026344,0.00365669861307482,-0.003828465373715062
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,90,0.00744964337366291,0.00666971333454359,-0.0018809254006129095
"044-045  IV.Endocrine, nutritional and metabolic diseases",Males,95,0.01051653110878917,0.00861744794711201,0
046-049  V.Mental and behaviour disorders,Females,0,0,0,0
046-049  V.Mental and behaviour disorders,Females,1,0,0,0
046-049  V.Mental and behaviour disorders,Females,5,0,0,0
046-049  V.Mental and behaviour disorders,Females,10,0,0,0
046-049  V.Mental and behaviour disorders,Females,15,8.611955125423364e-7,0,-2.923734237327835e-4
046-049  V.Mental and behaviour disorders,Females,20,1.7634341031870906e-6,8.946901824339458e-7,-2.733077230629988e-4
046-049  V.Mental and behaviour disorders,Females,25,0,0,0
046-049  V.Mental and behaviour disorders,Females,30,7.311791342256947e-7,1.434686307598429e-6,1.863355177675885e-4
046-049  V.Mental and behaviour disorders,Females,35,4.3086909622761895e-6,5.941562885421216e-7,-8.916493866735209e-4
046-049  V.Mental and behaviour disorders,Females,40,3.090505616580924e-6,2.0456663317994933e-6,-2.249219507888256e-4
046-049  V.Mental and behaviour disorders,Females,45,4.656643526506578e-6,1.5774520302554488e-6,-5.868129253627785e-4
046-049  V.Mental and behaviour disorders,Females,50,9.762745163524856e-6,5.468033760228997e-6,-7.129761972635151e-4
046-049  V.Mental and behaviour disorders,Females,55,1.2181817173037666e-5,1.4270352975244872e-5,2.9590124803746676e-4
046-049  V.Mental and behaviour disorders,Females,60,2.7539067731513044e-5,2.2413339003049902e-5,-6.033266787000002e-4
046-049  V.Mental and behaviour disorders,Females,65,8.332292901270304e-5,7.28747138979706e-5,-9.848821658948737e-4
046-049  V.Mental and behaviour disorders,Females,70,2.455244337873285e-4,2.2847715498922397e-4,-0.0012202111855259545
046-049  V.Mental and behaviour disorders,Females,75,6.807729429818713e-4,6.573702374098833e-4,-0.0011720048684935591
046-049  V.Mental and behaviour disorders,Females,80,0.0023152415421516,0.00225384960648165,-0.0018841869636787578
046-049  V.Mental and behaviour disorders,Females,85,0.00608155057807635,0.00656742896915895,0.00735974398448036
046-049  V.Mental and behaviour disorders,Females,90,0.01552966209954803,0.01687136088471115,0.006812063715571526
046-049  V.Mental and behaviour disorders,Females,95,0.03300220756119055,0.03463518645560227,0
046-049  V.Mental and behaviour disorders,Males,0,0,0,0
046-049  V.Mental and behaviour disorders,Males,1,0,0,0
046-049  V.Mental and behaviour disorders,Males,5,0,0,0
046-049  V.Mental and behaviour disorders,Males,10,0,0,0
046-049  V.Mental and behaviour disorders,Males,15,0,2.4747362499224416e-6,7.739549174630156e-4
046-049  V.Mental and behaviour disorders,Males,20,1.6432938934733942e-6,8.495502420665337e-7,-2.2850124713613695e-4
046-049  V.Mental and behaviour disorders,Males,25,0,7.847053699695918e-7,2.064235596179742e-4
046-049  V.Mental and behaviour disorders,Males,30,2.1753414585344685e-6,3.6004411582159835e-6,3.395921283271264e-4
046-049  V.Mental and behaviour disorders,Males,35,4.948994727537711e-6,4.760136764190354e-6,-4.0339983172543725e-5
046-049  V.Mental and behaviour disorders,Males,40,5.07420048292659e-6,3.9930783584320355e-6,-2.0433024771193686e-4
046-049  V.Mental and behaviour disorders,Males,45,1.5247008324344752e-5,1.0315785247968929e-5,-8.113441479622452e-4
046-049  V.Mental and behaviour disorders,Males,50,2.9427031524323165e-5,2.8021388380975385e-5,-1.9722614466388677e-4
046-049  V.Mental and behaviour disorders,Males,55,3.891052944931855e-5,3.0626816416601724e-5,-9.653744509989792e-4
046-049  V.Mental and behaviour disorders,Males,60,7.019179164654016e-5,7.495989920910805e-5,4.458057531024906e-4
046-049  V.Mental and behaviour disorders,Males,65,1.5704953500005764e-4,1.5104742203398078e-4,-4.2963210273683217e-4
046-049  V.Mental and behaviour disorders,Males,70,3.460260460501406e-4,4.07781584710999e-4,0.0031669804586158534
046-049  V.Mental and behaviour disorders,Males,75,9.026233488145036e-4,8.698094233163305e-4,-0.001091903920453774
046-049  V.Mental and behaviour disorders,Males,80,0.00227109046581629,0.00275562751995319,0.008972723921232273
046-049  V.Mental and behaviour disorders,Males,85,0.00559049687086314,0.00638462358602265,0.006456818580119261
046-049  V.Mental and behaviour disorders,Males,90,0.01263739698646834,0.01423581183249966,0.0038548317716333713
046-049  V.Mental and behaviour disorders,Males,95,0.02106417621494163,0.0242528932753948,0
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,0,9.180598007776944e-5,2.1268297012973328e-4,0.010284908995487285
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,1,1.6733941661527302e-5,1.294450117437566e-5,-0.0012482726376390474
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,5,1.085934260940129e-5,7.054414899274518e-6,-0.0014813585738409074
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,10,8.146086039159387e-6,1.3122928197714725e-5,0.0018135987896954475
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,15,1.1195541663050376e-5,1.1367323951229026e-5,5.831959759916572e-5
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,20,7.935453464341907e-6,1.3420352736509188e-5,0.0017255549019807859
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,25,1.2022452396475774e-5,1.0472575036302933e-5,-4.490335484632624e-4
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,30,1.7548299221416672e-5,1.0760147306988216e-5,-0.0017979543774373496
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,35,1.5388182008129246e-5,1.1883125770842432e-5,-8.413654787631231e-4
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,40,2.2663707854926776e-5,2.5059412564543792e-5,5.157219725333562e-4
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,45,3.363131435810307e-5,4.048793544322319e-5,0.001306691669597626
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,50,6.996634033859479e-5,6.233558486661055e-5,-0.0012668015397707677
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,55,1.0557574883299308e-4,1.010816669079845e-4,-6.3671613817462e-4
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,60,1.986747029202012e-4,1.7930671202439922e-4,-0.0022797198678290442
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,65,3.5198097115646514e-4,3.318967948179313e-4,-0.0018931986827510627
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,70,6.634204734869937e-4,6.45659515765844e-4,-0.001271294939911627
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,75,0.00166206727520799,0.001458573508937,-0.01019094497775086
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,80,0.00377915630761404,0.00346598248182653,-0.009611653935678532
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,85,0.00775729172764349,0.00734884551154361,-0.006186855881111342
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,90,0.01299272007176944,0.0126160438925859,-0.0019124576640052737
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Females,95,0.01637392764355793,0.0163859505541536,0
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Males,0,1.9660694466465831e-4,1.977786191344035e-4,9.33809420189391e-5
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Males,1,9.508642786248312e-6,3.4773399365831774e-5,0.007780586078951046
050-052  VI-VIII.Diseases of the nervous system and sensory organs,Males,5,5.8710176438586194e-6,1.0906266642863588e-5,0.0018254500865282353
